id,product_name,product_category,price,product_url,image_url,description,color
61,BRÖNDEN,handmade-carpets,17990,https://www.ikea.com/in/en/p/broenden-rug-low-pile-handmade-multicolour-red-50532925/,https://www.ikea.com/in/en/images/products/broenden-rug-low-pile-handmade-multicolour-red__1084642_pe859748_s5.jpg?f=xxs,"Rug, low pile, 170x240 cm (5 ' 7 "x7 ' 10 ")",Terracotta
62,BRÖNDEN,handmade-carpets,14990,https://www.ikea.com/in/en/p/broenden-rug-low-pile-handmade-beige-90480552/,https://www.ikea.com/in/en/images/products/broenden-rug-low-pile-handmade-beige__0804523_pe769465_s5.jpg?f=xxs,"Rug, low pile, 170x240 cm (5 ' 7 "x7 ' 10 ")",Peach
63,STOCKHOLM,handmade-carpets,14990,https://www.ikea.com/in/en/p/stockholm-rug-flatwoven-handmade-striped-black-off-white-70166450/,https://www.ikea.com/in/en/images/products/stockholm-rug-flatwoven-handmade-striped-black-off-white__0523361_pe643765_s5.jpg?f=xxs,"Rug, flatwoven, 250x350 cm (8 ' 2 "x11 ' 6 ")",Peach
64,STOCKHOLM,handmade-carpets,9990,https://www.ikea.com/in/en/p/stockholm-rug-flatwoven-handmade-striped-black-off-white-90166449/,https://www.ikea.com/in/en/images/products/stockholm-rug-flatwoven-handmade-striped-black-off-white__56123_pe161531_s5.jpg?f=xxs,"Rug, flatwoven, 170x240 cm (5 ' 7 "x7 ' 10 ")",Gray
65,HÖJET,handmade-carpets,1499,https://www.ikea.com/in/en/p/hoejet-rug-flatwoven-handmade-beige-00382042/,https://www.ikea.com/in/en/images/products/hoejet-rug-flatwoven-handmade-beige__0555096_pe660132_s5.jpg?f=xxs,"Rug, flatwoven, 133x195 cm (4 ' 4 "x6 ' 5 ")",Beige
66,BENGTA,curtains,999,https://www.ikea.com/in/en/p/bengta-block-out-curtain-1-length-light-grey-60512998/,https://www.ikea.com/in/en/images/products/bengta-block-out-curtain-1-length-light-grey__0977116_pe813404_s5.jpg?f=xxs,"Block-out curtain, 1 length, 210x250 cm (83x98 ")",Gray
67,"ALVINE SPETS",curtains,599,https://www.ikea.com/in/en/p/alvine-spets-net-curtains-1-pair-off-white-40171863/,https://www.ikea.com/in/en/images/products/alvine-spets-net-curtains-1-pair-off-white__0099780_pe242082_s5.jpg?f=xxs,"Net curtains, 1 pair, 145x250 cm (57x98 ")",Cream
68,KLIBBARV,curtains,1190,https://www.ikea.com/in/en/p/klibbarv-curtains-1-pair-white-printed-40482011/,https://www.ikea.com/in/en/images/products/klibbarv-curtains-1-pair-white-printed__0806386_pe769924_s5.jpg?f=xxs,"Curtains, 1 pair, 150x150 cm (59x59 ")",Peach
69,LENDA,curtains,1790,https://www.ikea.com/in/en/p/lenda-curtains-with-tie-backs-1-pair-off-white-40559208/,https://www.ikea.com/in/en/images/products/lenda-curtains-with-tie-backs-1-pair-off-white__1136111_pe879297_s5.jpg?f=xxs,"Curtains with tie-backs, 1 pair, 140x250 cm (55x98 ")",Peach
70,BYMOTT,curtains,799,https://www.ikea.com/in/en/p/bymott-curtains-1-pair-white-beige-striped-20509969/,https://www.ikea.com/in/en/images/products/bymott-curtains-1-pair-white-beige-striped__0972980_pe811833_s5.jpg?f=xxs,"Curtains, 1 pair, 120x250 cm (47x98 ")",Peach
71,SILVERLÖNN,curtains,1190,https://www.ikea.com/in/en/p/silverloenn-sheer-curtains-1-pair-white-40491039/,https://www.ikea.com/in/en/images/products/silverloenn-sheer-curtains-1-pair-white__0913763_pe783726_s5.jpg?f=xxs,"Sheer curtains, 1 pair, 145x250 cm (57x98 ")",White
72,ROSENMANDEL,curtains,1990,https://www.ikea.com/in/en/p/rosenmandel-room-darkening-curtains-1-pair-yellow-beige-50539074/,https://www.ikea.com/in/en/images/products/rosenmandel-room-darkening-curtains-1-pair-yellow-beige__1135863_pe879183_s5.jpg?f=xxs,"Room darkening curtains, 1 pair, 135x250 cm (53x98 ")",Beige
73,DYTÅG,curtains,5990,https://www.ikea.com/in/en/p/dytag-curtains-1-pair-grey-green-20552892/,https://www.ikea.com/in/en/images/products/dytag-curtains-1-pair-grey-green__1138275_pe879938_s5.jpg?f=xxs,"Curtains, 1 pair, 145x250 cm (57x98 ")",Gray
